accepted_name,taxon_name,reported_names,genus,family,subfamily,taxon_rank,accepted_name_authorship,taxon_id,accepted_taxon_id,taxa_taxon_list_id,occurrence_count,location_count,location_ids,location_names,cd_nom,cd_ref,taxref_scientific_name,taxref_accepted_name,taxref_rank,taxref_family,taxref_order,taxref_status,taxref_vernacular_fr,taxref_match_type,taxref_match_note,inpn_url
Microlepidoptera indet.,Microlepidoptera indet.,Microlepidoptera indet.,,,,Species group,,,,572041,2,2,395725 | 399051,Voutenay_ThalOeufs | Solanetta_rnn_mantet,,,,,,,,,,non_applicable,groupe informel sans cd_nom TAXREF,
Mythimna sicula,Mythimna sicula,Mythimna sicula,,,,Species,"(Treitschke, 1835)",,,571911,5,2,395725 | 395764,Voutenay_ThalOeufs | Voutenay_Thalsansoeufs02,249555,249555,"Mythimna sicula (Treitschke, 1835)","Mythimna sicula (Treitschke, 1835)",species,Noctuidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/249555
Noctua janthe/janthina,Noctua janthe/janthina,Noctua janthe/janthina,,,,Species aggregate,,,,572178,9,6,395441 | 395447 | 395813 | 395885 | 395886 | 399051,côte de Mancy (Lons-le-Saunier) | Sur Mancy (Macornay) | La Truchère_tourbière | Comolle 1 | Comolle 2 | Solanetta_rnn_mantet,,,,,,,,,,non_applicable,agregat / complexe d'especes,
Oligia spec.,Oligia spec.,Oligia spec.,,,,Genus,,,,572136,2,2,395441 | 399055,côte de Mancy (Lons-le-Saunier) | Sous_col_mantet,211159,211159,"Oligia Hübner, 1821","Oligia Hübner, 1821",genus,Noctuidae,Lepidoptera,Accepted,,Exact,match sur le nom epure 'Oligia',https://inpn.mnhn.fr/espece/cd_nom/211159
Scoparia/Eudonia spec.,Scoparia/Eudonia spec.,Scoparia/Eudonia spec.,,,,Genus,,,,572151,7,7,395447 | 395725 | 395764 | 395768 | 395878 | 396020 | 399051,Sur Mancy (Macornay) | Voutenay_ThalOeufs | Voutenay_Thalsansoeufs02 | ZA 2 vide | Piège 1 - boisement feuillus jeunes - Sauvagney | Remoray forêt1 vide | Solanetta_rnn_mantet,,,,,,,,,,non_applicable,agregat / complexe d'especes,
Thera spec.,Thera spec.,Thera spec.,,,,Genus,,,,572167,4,2,397629 | 397630,Maire 1 | Maire 2,210456,210456,"Thera Stephens, 1831","Thera Stephens, 1831",genus,Geometridae,Lepidoptera,Accepted,,Exact,match sur le nom epure 'Thera',https://inpn.mnhn.fr/espece/cd_nom/210456
Tortricidae indet.,Tortricidae indet.,Tortricidae indet.,,,,Family,,,,572170,1,1,396020,Remoray forêt1 vide,185313,185313,"Tortricidae Latreille, 1802","Tortricidae Latreille, 1802",family,Tortricidae,Lepidoptera,Accepted,,Exact,match sur le nom epure 'Tortricidae',https://inpn.mnhn.fr/espece/cd_nom/185313
Unknown,Unknown,Unknown,,,,,,,,538737,18,8,395725 | 395764 | 396795 | 396800 | 397620 | 397624 | 398134 | 399051,Voutenay_ThalOeufs | Voutenay_Thalsansoeufs02 | Bure - sans-oeuf | Bure - Oeuf | Mesves_IDB1 | Mesves_IDB2 | THALERA_EYNE_2_boite_oeuf | Solanetta_rnn_mantet,,,,,,,,,,non_applicable,nom non identifiable,
Yponomeuta spec.,Yponomeuta spec.,Yponomeuta spec.,,,,Genus,,,,572173,4,4,395447 | 395767 | 397620 | 397624,Sur Mancy (Macornay) | ZA 1 Oeufs | Mesves_IDB1 | Mesves_IDB2,211660,211660,"Yponomeuta Latreille, 1796","Yponomeuta Latreille, 1796",genus,Yponomeutidae,Lepidoptera,Accepted,,Exact,match sur le nom epure 'Yponomeuta',https://inpn.mnhn.fr/espece/cd_nom/211660
Diurnea fagella,Diurnea fagella,Diurnea fagella,Diurnea,Chimabachidae,,Species,"([DENIS & SCHIFFERMÜLLER], 1775)",EBMSM0000000004675,EBMSM0000000004675,450907,2,2,396020 | 396022,Remoray forêt1 vide | Remoray forêt2 oeufs,246170,246170,"Diurnea fagella (Denis & Schiffermüller, 1775)","Diurnea fagella (Denis & Schiffermüller, 1775)",species,Lypusidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/246170
Dyspessa ulula,Dyspessa ulula,Dyspessa ulula,Dyspessa,Cossidae,Cossinae,Species,"(BORKHAUSEN, 1790)",EBMSM0000000008594,EBMSM0000000008594,454826,2,2,395725 | 395764,Voutenay_ThalOeufs | Voutenay_Thalsansoeufs02,247138,247138,"Dyspessa ulula (Borkhausen, 1790)","Dyspessa ulula (Borkhausen, 1790)",species,Cossidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/247138
Acentria ephemerella,Acentria ephemerella,Acentria ephemerella,Acentria,Crambidae,Acentropinae,Species,"([DENIS & SCHIFFERMÜLLER], 1775)",EBMSM0000000010472,EBMSM0000000010472,456704,4,4,395764 | 395812 | 395813 | 396795,Voutenay_Thalsansoeufs02 | La Truchère_dunes_boite_oeuf | La Truchère_tourbière | Bure - sans-oeuf,248234,248234,"Acentria ephemerella (Denis & Schiffermüller, 1775)","Acentria ephemerella (Denis & Schiffermüller, 1775)",species,Crambidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248234
Agriphila inquinatella,Agriphila inquinatella,Agriphila inquinatella,Agriphila,Crambidae,Crambinae,Species,"([DENIS & SCHIFFERMÜLLER], 1775)",EBMSM0000000010306,EBMSM0000000010306,456538,1,1,396800,Bure - Oeuf,248292,248292,"Agriphila inquinatella (Denis & Schiffermüller, 1775)","Agriphila inquinatella (Denis & Schiffermüller, 1775)",species,Crambidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248292
Agriphila straminella,Agriphila straminella,Agriphila straminella,Agriphila,Crambidae,Crambinae,Species,"([DENIS & SCHIFFERMÜLLER], 1775)",EBMSM0000000010313,EBMSM0000000010313,456545,1,1,397624,Mesves_IDB2,248297,248297,"Agriphila straminella (Denis & Schiffermüller, 1775)","Agriphila straminella (Denis & Schiffermüller, 1775)",species,Crambidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248297
Agrotera nemoralis,Agrotera nemoralis,Agrotera nemoralis,Agrotera,Crambidae,Spilomelinae,Species,"(SCOPOLI, 1763)",EBMSM0000000010724,EBMSM0000000010724,456956,1,1,396022,Remoray forêt2 oeufs,248109,248109,"Agrotera nemoralis (Scopoli, 1763)","Agrotera nemoralis (Scopoli, 1763)",species,Crambidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248109
Anania coronata,Anania coronata,Anania coronata,Anania,Crambidae,Pyraustinae,Species,"(HUFNAGEL, 1767)",EBMSM0000000010650,EBMSM0000000010650,456882,1,1,396712,Piège 2 - aulnaie - marais de Saône,785321,785321,"Anania coronata (Hufnagel, 1767)","Anania coronata (Hufnagel, 1767)",species,Crambidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/785321
Anania perlucidalis,Anania perlucidalis,Anania perlucidalis,Anania,Crambidae,Pyraustinae,Species,"(HÜBNER, [1809])",EBMSM0000000010654,EBMSM0000000010654,456886,1,1,395878,Piège 1 - boisement feuillus jeunes - Sauvagney,791643,791643,"Anania perlucidalis (Hübner, 1809)","Anania perlucidalis (Hübner, 1809)",species,Crambidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/791643
Ancylolomia tentaculella,Ancylolomia tentaculella,Ancylolomia tentaculella,Ancylolomia,Crambidae,Crambinae,Species,"(HÜBNER, 1796)",EBMSM0000000010427,EBMSM0000000010427,456659,1,1,395764,Voutenay_Thalsansoeufs02,248246,248246,"Ancylolomia tentaculella (Hübner, 1796)","Ancylolomia tentaculella (Hübner, 1796)",species,Crambidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248246
Catoptria pinella,Catoptria pinella,Catoptria pinella,Catoptria,Crambidae,Crambinae,Species,"(LINNAEUS, 1758)",EBMSM0000000010350,EBMSM0000000010350,456582,1,1,399051,Solanetta_rnn_mantet,248276,248276,"Catoptria pinella (Linnaeus, 1758)","Catoptria pinella (Linnaeus, 1758)",species,Crambidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248276
Chilo phragmitella,Chilo phragmitella,Chilo phragmitella,Chilo,Crambidae,Crambinae,Species,"(HÜBNER, [1810])",EBMSM0000000010253,EBMSM0000000010253,456485,4,3,396710 | 396712 | 396795,Piège 1 - cariçaie - marais de Saône | Piège 2 - aulnaie - marais de Saône | Bure - sans-oeuf,853434,853434,"Chilo phragmitellus (Hübner, 1810)","Chilo phragmitellus (Hübner, 1810)",species,Crambidae,Lepidoptera,Accepted,,Fuzzy,,https://inpn.mnhn.fr/espece/cd_nom/853434
